"Blooket
Import Template";;;;;;;;;;;;;;;;;;;;;;;;;
Question #;Question Text;Answer 1;Answer 2;"Answer 3
(Optional)";"Answer 4
(Optional)";"Time Limit (sec)
(Max: 300 seconds)";"Correct Answer(s)
(Only include Answer #)";;;;;;;;;;;;;;;;;;
1;Qual era a principal preocupação dos egípcios em relação ao rio Nilo?;Se o rio seria navegável para o comércio;Se o rio teria água suficiente para garantir boas colheitas;Se o rio atrairia turistas para o Egito;Se o rio seria seguro para banhos rituais;20;2;;;;;;;;;;;;;;;;;;
4;Qual foi o motivo para o início das dez pragas no Egito?;A recusa do faraó em pagar tributos a Moisés;A destruição do rio Nilo pelos hebreus;A recusa do faraó em permitir que os hebreus fizessem uma jornada para adorar a Deus;A tentativa dos hebreus de conquistar o Egito;20;3;;;;;;;;;;;;;;;;;;
5;O que as pragas representam?;Confronto entre o Deus de Israel e os deuses do Egito;Desafio à autoridade do faraó;Castigo sem propósito;Eventos para mostrar a mágica divina;20;1;;;;;;;;;;;;;;;;;;
7;Por que o faraó endureceu seu coração após o confronto inicial das serpentes?;Ele não viu o milagre;Os magos egípcios imitaram o feito de Arão;Ele não acreditava em serpentes;Ele queria lutar contra Moisés diretamente;20;2;;;;;;;;;;;;;;;;;;
9;O que diferenciou a quarta praga (moscas) das anteriores?;Foi a primeira praga que os magos conseguiram imitar;Foi anunciada com uma semana de antecedência;Não causou danos ao Egito;Deus protegeu a terra onde viviam os israelitas;20;4;;;;;;;;;;;;;;;;;;
10;Qual foi a oferta do faraó após a praga de escuridão (penúltima praga)?;Deixar todo o povo ir incluindo os animais;Permitir que apenas os homens hebreus partissem;Deixar todo o povo ir mas sem os animais;Proibir qualquer hebreu de deixar o Egito;20;3;;;;;;;;;;;;;;;;;;
12;Como as pragas foram vistas pelos israelitas?;Como castigos por seus pecados;Como atos de misericórdia para libertá-los;Como sinais de fraqueza de Deus;Como truques de Moisés;20;2;;;;;;;;;;;;;;;;;;
13;Para os hebreus o que as pragas representavam?;Um castigo por seus pecados;Uma oportunidade de conquistar o Egito;A libertação da opressão;Um sinal de que deveriam permanecer no Egito;20;3;;;;;;;;;;;;;;;;;;
14;Como Deus demonstrou misericórdia aos egípcios antes da sétima praga?;Ele cancelou a praga permanentemente;Ele avisou sobre a chuva de granizo com antecedência permitindo que se protegessem;Ele enviou presentes aos servos do faraó;Ele removeu o faraó do poder;20;2;;;;;;;;;;;;;;;;;;
